//ItemIndex   EffectIndex   EffectValue   EffectLevel   ColorR   ColorG   ColorB   ColorSize   ColorMain   ColorSide
//Wings Devil & Angel
1044 32002 1 0 1.00 0.25 1.00 0.5 0.0 0.0
1044 32002 2 0 1.00 0.25 1.00 0.5 0.0 0.0
1044 32002 3 0 1.00 0.25 1.00 0.5 0.0 0.0
1044 32002 4 0 1.00 0.25 1.00 0.5 0.0 0.0
1044 32002 5 0 1.00 0.25 1.00 0.5 0.0 0.0
1044 32002 6 0 1.00 0.25 1.00 0.5 0.0 0.0
1044 32002 7 0 1.00 0.25 1.00 0.5 0.0 0.0
1044 32002 8 0 1.00 0.25 1.00 0.5 0.0 0.0
1044 32002 9 0 1.00 0.25 1.00 2.0 0.0 0.0
//Blast Break (blastbreak.bmd)
37 32002 3 0 0.50 0.73 1.00 0.5 0.0 0.0
37 32002 4 0 0.50 0.73 1.00 0.5 0.0 0.0
37 32002 5 0 0.50 0.73 1.00 0.5 0.0 0.0
37 32002 6 0 0.50 0.73 1.00 0.5 0.0 0.0
37 32002 7 0 0.50 0.73 1.00 0.5 0.0 0.0
37 32002 8 0 0.50 0.73 1.00 0.5 0.0 0.0
37 32002 9 0 0.50 0.73 1.00 0.5 0.0 0.0
37 32002 10 0 0.50 0.73 1.00 0.5 0.0 0.0
37 32002 11 0 0.50 0.73 1.00 0.5 0.0 0.0
//Sonic Blade-Cyclone Sword (balhalla_sword.bmd)
29 32002 1 0 1.00 0.74 0.67 0.8 0.0 0.0
29 32002 2 0 1.00 0.74 0.67 0.8 0.0 0.0
29 32002 3 0 1.00 0.74 0.67 0.8 0.0 0.0
29 32002 4 0 1.00 0.74 0.67 0.8 0.0 0.0
29 32002 5 0 1.00 0.74 0.67 0.8 0.0 0.0
29 32002 6 0 1.00 0.74 0.67 0.8 0.0 0.0
29 32002 7 0 1.00 0.74 0.67 0.8 0.0 0.0
//Wing Saron
6385		32002		  2		    0		 	   0.83		0.52	 0.76	    1.0         0.0	   		0.0 //PINK PINK
6385		32002		  3		    0		 	   0.83		0.52	 0.76	    1.0         0.0	   		0.0 //PINK PINK
6385		32002		  4		    0		 	   0.78		0.58	 0.17	    1.0         0.0	   		0.0 //PINK PINK
6385		32002		  5		    0		 	   0.83		0.52	 0.76	    1.0         0.0	   		0.0 //GOLD GOLD
6385		32002		  6		    0		 	   0.83		0.52	 0.76	    1.0         0.0	   		0.0 //PINK PINK
6385		32002		  7		    0		 	   0.78		0.58	 0.17	    1.0         0.0	   		0.0 //PINK PINK
6385		32002		  8		    0		 	   0.78		0.58	 0.17	    1.0         0.0	   		0.0 //PINK PINK
6385		32002		  9		    0		 	   0.83		0.52	 0.76	    1.0         0.0	   		0.0 //PINK PINK
//Shield Saron
3118		32002		  1		    0		 	   0.83		0.52	 0.76	    1.0         0.0	   		0.0 //PINK PINK
3118		32002		  2		    0		 	   0.83		0.52	 0.76	    1.0         0.0	   		0.0 //PINK PINK
3118		32002		  3		    0		 	   0.83		0.52	 0.76	    1.0         0.0	   		0.0 //PINK PINK
3118		32002		  4		    0		 	   0.83		0.52	 0.76	    1.0         0.0	   		0.0 //PINK PINK
3118		32002		  5		    0		 	   0.83		0.52	 0.76	    1.0         0.0	   		0.0 //PINK PINK
3118		32002		  6		    0		 	   0.83		0.52	 0.76	    1.0         0.0	   		0.0 //PINK PINK
3118		32002		  7		    0		 	   0.83		0.52	 0.76	    1.0         0.0	   		0.0 //PINK PINK
3118		32002		  8		    0		 	   0.83		0.52	 0.76	    1.0         0.0	   		0.0 //PINK PINK
3118		32002		  9		    0		 	   0.83		0.52	 0.76	    1.0         0.0	   		0.0 //PINK PINK
3118		32002		  10		    0		 	   0.83		0.52	 0.76	    1.0         0.0	   		0.0 //PINK PINK
//wing Saron
6386		32002		  11		    0		 	   0.83		0.52	 0.76	    1.4         0.0	   		0.0 //PINK PINK
6386		32002		  12		    0		 	   0.83		0.52	 0.76	    1.4         0.0	   		0.0 //PINK PINK
6386		32002		  13		    0		 	   0.83		0.52	 0.76	    1.4         0.0	   		0.0 //PINK PINK
6386		32002		  14		    0		 	   0.83		0.52	 0.76	    1.4         0.0	   		0.0 //PINK PINK
6386		32002		  15		    0		 	   0.83		0.52	 0.76	    1.4         0.0	   		0.0 //PINK PINK
6386		32002		  16		    0		 	   0.83		0.52	 0.76	    1.4         0.0	   		0.0 //PINK PINK
6386		32002		  20		    0		 	   0.83		0.52	 0.76	    1.4         0.0	   		0.0 //PINK PINK
6386		32002		  26		    0		 	   0.83		0.52	 0.76	    1.4         0.0	   		0.0 //PINK PINK
6386		32002		  27		    0		 	   0.83		0.52	 0.76	    1.4         0.0	   		0.0 //PINK PINK
6386		32002		  29		    0		 	   0.83		0.52	 0.76	    1.4         0.0	   		0.0 //PINK PINK
6386		32002		  30		    0		 	   0.83		0.52	 0.76	    1.4         0.0	   		0.0 //PINK PINK
6386		32002		  33		    0		 	   0.83		0.52	 0.76	    1.4         0.0	   		0.0 //PINK PINK
6386		32002		  36		    0		 	   0.83		0.52	 0.76	    1.4         0.0	   		0.0 //PINK PINK
6386		32002		  44		    0		 	   0.83		0.52	 0.76	    1.4         0.0	   		0.0 //PINK PINK
6386		32002		  53		    0		 	   0.83		0.52	 0.76	    1.4         0.0	   		0.0 //PINK PINK
6386		32002		  54		    0		 	   0.83		0.52	 0.76	    1.4         0.0	   		0.0 //PINK PINK
6386		32002		  17		    0		 	   0.16		0.16	 0.27  	    1.4         0.0	   		0.0 //BLACK BLACK
6386		32002		  18		    0		 	   0.16		0.16	 0.27  	    1.4         0.0	   		0.0 //BLACK BLACK
6386		32002		  19		    0		 	   0.16		0.16	 0.27  	    1.4         0.0	   		0.0 //BLACK BLACK
6386		32002		  21		    0		 	   0.16		0.16	 0.27  	    1.4         0.0	   		0.0 //BLACK BLACK
6386		32002		  22		    0		 	   0.16		0.16	 0.27  	    1.4         0.0	   		0.0 //BLACK BLACK
6386		32002		  23		    0		 	   0.16		0.16	 0.27  	    1.4         0.0	   		0.0 //BLACK BLACK
6386		32002		  24		    0		 	   0.16		0.16	 0.27  	    1.4         0.0	   		0.0 //BLACK BLACK
6386		32002		  25		    0		 	   0.16		0.16	 0.27  	    1.4         0.0	   		0.0 //BLACK BLACK
6386		32002		  28		    0		 	   0.16		0.16	 0.27  	    1.4         0.0	   		0.0 //BLACK BLACK
6386		32002		  31		    0		 	   0.16		0.16	 0.27  	    1.4         0.0	   		0.0 //BLACK BLACK
6386		32002		  34		    0		 	   0.16		0.16	 0.27  	    1.4         0.0	   		0.0 //BLACK BLACK
6386		32002		  39		    0		 	   0.16		0.16	 0.27  	    1.4         0.0	   		0.0 //BLACK BLACK
6386		32002		  42		    0		 	   0.16		0.16	 0.27       1.4         0.0	   		0.0 //BLACK BLACK
6386		32002		  32		    0		 	   0.78		0.58	 0.17	    1.4         0.0	   		0.0 //GOLD GOLD
6386		32002		  35		    0		 	   0.78		0.58	 0.17	    1.4         0.0	   		0.0 //GOLD GOLD
6386		32002		  37		    0		 	   0.78		0.58	 0.17	    1.4         0.0	   		0.0 //GOLD GOLD
6386		32002		  38		    0		 	   0.78		0.58	 0.17	    1.4         0.0	   		0.0 //GOLD GOLD
6386		32002		  40		    0		 	   0.78		0.58	 0.17	    1.4         0.0	   		0.0 //GOLD GOLD
6386		32002		  41		    0		 	   0.78		0.58	 0.17	    1.4         0.0	   		0.0 //GOLD GOLD
6386		32002		  43		    0		 	   0.78		0.58	 0.17	    1.4         0.0	   		0.0 //GOLD GOLD
6386		32002		  45		    0		 	   0.78		0.58	 0.17	    1.4         0.0	   		0.0 //GOLD GOLD
6386		32002		  46		    0		 	   0.78		0.58	 0.17	    1.4         0.0	   		0.0 //GOLD GOLD
6386		32002		  47		    0		 	   0.78		0.58	 0.17	    1.4         0.0	   		0.0 //GOLD GOLD
6386		32002		  48		    0		 	   0.78		0.58	 0.17	    1.4         0.0	   		0.0 //GOLD GOLD
6386		32002		  49		    0		 	   0.78		0.58	 0.17	    1.4         0.0	   		0.0 //GOLD GOLD
6386		32002		  50		    0		 	   0.78		0.58	 0.17	    1.4         0.0	   		0.0 //GOLD GOLD
6386		32002		  51		    0		 	   0.78		0.58	 0.17	    1.4         0.0	   		0.0 //GOLD GOLD
6386		32002		  52		    0		 	   0.78		0.58	 0.17	    1.4         0.0	   		0.0 //GOLD GOLD

6387		32002		  11		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  12		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  13		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  14		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  15		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  16		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  17		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  18		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  19		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  20		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  21		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  22		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  23		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  24		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  25		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  26		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  27		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  28		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  29		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  30		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  31		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  32		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  33		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  34		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  35		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  36		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  37		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  38		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  39		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  40		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  41		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  42		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  43		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  44		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  45		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  46		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  47		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  48		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  49		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  50		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  51		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  52		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  53		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  54		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  55		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  56		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  57		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  58		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  59		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  60		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  61		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  62		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  63		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  64		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  65		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  66		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  67		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  68		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  69		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  70		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  71		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
6387		32002		  72		    0		 	   0.77		0.58	 0.34	    1.0         0.0	   		0.0
//Wing Of Gren V2
6387		32003		  73		    0		 	   0.30		0.81	 0.20	    0.5         0.0	   		0.0 //GREEN
6387		32003		  74		    0		 	   0.30		0.81	 0.20	    0.5         0.0	   		0.0 //GREEN
6387		32003		  75		    0		 	   0.30		0.81	 0.20	    0.5         0.0	   		0.0 //GREEN
6387		32003		  76		    0		 	   0.30		0.81	 0.20	    0.5         0.0	   		0.0 //GREEN
6387		32003		  77		    0		 	   0.30		0.81	 0.20	    0.5         0.0	   		0.0 //GREEN
6387		32003		  78		    0		 	   0.30		0.81	 0.20	    0.5         0.0	   		0.0 //GREEN
6387		32003		  79		    0		 	   0.30		0.81	 0.20	    0.5         0.0	   		0.0 //GREEN
6387		32003		  80		    0		 	   0.30		0.81	 0.20	    0.5         0.0	   		0.0 //GREEN
6387		32003		  81		    0		 	   0.30		0.81	 0.20	    0.5         0.0	   		0.0 //GREEN
6387		32003		  82		    0		 	   0.30		0.81	 0.20	    0.5         0.0	   		0.0 //GREEN
6387		32003		  83		    0		 	   0.30		0.81	 0.20	    0.5         0.0	   		0.0 //GREEN
6387		32003		  84		    0		 	   0.30		0.81	 0.20	    0.5         0.0	   		0.0 //GREEN
6387		32003		  85		    0		 	   0.30		0.81	 0.20	    0.5         0.0	   		0.0 //GREEN
6387		32003		  86		    0		 	   0.30		0.81	 0.20	    0.5         0.0	   		0.0 //GREEN
6387		32003		  87		    0		 	   0.30		0.81	 0.20	    0.5         0.0	   		0.0 //GREEN
6387		32003		  88		    0		 	   0.30		0.81	 0.20	    0.5         0.0	   		0.0 //GREEN
6387		32003		  89		    0		 	   0.30		0.81	 0.20	    0.5         0.0	   		0.0 //GREEN
6387		32003		  90		    0		 	   0.30		0.81	 0.20	    0.5         0.0	   		0.0 //GREEN
//Cape Of Gren V2
6388	32003		  01		    0		 	   0.73		0.61	 0.28	    0.8         0.0	   		0.0	
6388	32002		  02		    0		 	   0.73		0.61	 0.28	    0.8         0.0	   		0.0
6388	32002		  03		    0		 	   0.73		0.61	 0.28	    0.8         0.0	   		0.0
6388	32002		  04		    0		 	   0.73		0.61	 0.28	    0.8         0.0	   		0.0
6388	32002		  05		    0		 	   0.73		0.61	 0.28	    0.8         0.0	   		0.0
6388	32002		  06		    0		 	   0.73		0.61	 0.28	    0.8         0.0	   		0.0
6388	32002		  07		    0		 	   0.73		0.61	 0.28	    0.8         0.0	   		0.0
6388	32002		  08		    0		 	   0.73		0.61	 0.28	    0.8         0.0	   		0.0
6388	32002		  09		    0		 	   0.73		0.61	 0.28	    0.8         0.0	   		0.0
6388	32002		  10		    0		 	   0.73		0.61	 0.28	    0.8         0.0	   		0.0
6388	32002		  11		    0		 	   0.73		0.61	 0.28	    0.8         0.0	   		0.0
6388	32002		  12		    0		 	   0.73		0.61	 0.28	    0.8         0.0	   		0.0
6388	32002		  13		    0		 	   0.73		0.61	 0.28	    0.8         0.0	   		0.0
6388	32002		  14		    0		 	   0.73		0.61	 0.28	    0.8         0.0	   		0.0
6388	32002		  15		    0		 	   0.73		0.61	 0.28	    0.8         0.0	   		0.0
6388	32002		  16		    0		 	   0.73		0.61	 0.28	    0.8         0.0                     0.0
//sword Of Gren V2
66		32003		  1			0		       0.30		0.81	 0.20   0.5		0.0 		0.0
66		32003		  2			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
66		32003		  3			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
66		32003		  4			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
66		32003		  5			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
66		32003		  6			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
66		32003		  7			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
66		32003		  8			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
66		32003		  9			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
66		32003		  10			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
66		32003		  11      		0		       0.30		0.81	 0.20	0.5		0.0 		0.0
66		32003		  12			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
66		32003		  13			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
66		32003		  14			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
66		32003		  15			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
66		32003		  16			0		       0.30		0.81	 0.20   0.5		0.0 		0.0
66		32003		  17			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
66		32003		  18			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
66		32003		  19			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
66		32003		  20			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
66		32003		  21			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
66		32003		  22			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
66		32003		  23			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
66		32003		  24			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
66		32003		  25			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
66		32003		  26      		0		       0.30		0.81	 0.20	0.5		0.0 		0.0
//shield Of Gren v2
3119		32003		  1			0		       0.30		0.81	 0.20   0.5		0.0 		0.0
3119		32003		  2			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
3119		32003		  3			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
3119		32003		  4			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
3119		32003		  5			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
3119		32003		  6			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
3119		32003		  7			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
3119		32003		  8			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
3119		32003		  9			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
3119		32003		  10			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
3119		32003		  11      		0		       0.30		0.81	 0.20	0.5		0.0 		0.0
3119		32003		  12			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
//staff Of Gren V2
2624		32003		  1			0		       0.30		0.81	 0.20   0.5		0.0 		0.0
2624		32003		  2			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
2624		32003		  3			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
2624		32003		  4			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
2624		32003		  5			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
2624		32003		  6			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
2624		32003		  7			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
2624		32003		  8			0		       0.30		0.81	 0.20	0.5		0.0 		0.0
