//////////////////////////////////////////////////////////////////////////////////////////////////////////
// Custom Pet Glow by louis
//////////////////////////////////////////////////////////////////////////////////////////////////////////
// Index: Item section that will receive the color	
//
// Effect:  Type of glow (most used 2 or 70)
// 	- Others: 2 4 18 66 68 70 72 576 4162 16450 65600 65602 
//
// Color rgb: 0 ~ 255
//////////////////////////////////////////////////////////////////////////////////////////////////////////
//Index	Type	Effect  ColorR	ColorG	ColorB
6919    2	70	2	046	242
6919    1	2	255	255	255
6919    1	70   	2	046	242
6919    1	65602   255	255	255
6919    2	70   	2	046	242
6919    2	65600   255	255	255

//Fenrir Green
6920	5	66	255	255	255
6920    6	66	255	255	255
6920    4	70	89	242	65
6920    3	70	89	242	65
6920    2	70	89	242	65
6920    1	2	255	255	255
6920    1	70   	89	242	65
6920    1	65602   255	255	255
6920    2	70   	89	242	65
6920    2	65600   255	255	255

//Fenrir Holly
6921	5	66	255	255	255
6921    6	66	255	255	255
6921    4	70	61	141	217
6921    3	70	61	141	217
6921    2	70	61	141	217
6921    1	2	255	255	255
6921    1	70   	61	141	217
6921    1	65602   255	255	255
6921    2	70   	61	141	217
6921    2	65600   255	255	255

//Fenrir Red
6922	5	66	255	255	255
6922    6	66	255	255	255
6922    4	70	240	41	41
6922    3	70	240	41	41
6922    2       70	240	41	41
6922    1       2	255	255	255
6922    1	70   	240	41	41
6922    1	65602   255	255	255
6922    2	70   	240	41	41
6922    2	65600   255	255	255

//Fenrir Steel
6923	5	66	255	255	255
6923    6	66	255	255	255
6923    4	70	61	141	217
6923    3	70	61	141	217
6923    2	70	61	141	217
6923    1	2	255	255	255
6923    1	70   	61	141	217
6923    1	65602   255	255	255
6923    2	70   	61	141	217
6923    2	65600   255	255	255

//Fenrir Abbadon
6924	5	66	255	255	255
6924    6	66	255	255	255
6924    4	70	61	141	217
6924    3	70	61	141	217
6924    2	70	61	141	217
6924    1	2	255	255	255
6924    1	70   	61	141	217
6924    1	65602   255	255	255
6924    2	70   	61	141	217
6924    2	65600   255	255	255

//Ice Dragon Green
6925	1	70   	0	50	0
6925	1	65602   0	50	0			
6925	0	70   	0	50	0	
6925	0	68   	0	50	0		
6925	0	65600   0	50	0		
6925	2	70   	0	50	0		
6925	2	65600   0	50	0


//HOUSE GLOSTBLUE
6886	7	70	255	255	255	//Ferraduras
6886	3	70	40	40	40	//Armadura
6886	2	70	50	124	171	//Corpo
6886	1	2	255	255	255	//Olho
6886	0	70	0	191	255	//Emassive
end
