//===================================================================================================================
// [NPCS] ATLANS (Map 7)
//===================================================================================================================
0
//Index  Range  PosX  PosY  Dir  Comment
051      30     144   063   -1   //Great Bahamut
051      30     133   061   -1   //Great Bahamut
051      30     133   070   -1   //Great Bahamut
051      30     125   078   -1   //Great Bahamut
051      30     118   085   -1   //Great Bahamut
051      30     124   090   -1   //Great Bahamut
051      30     116   098   -1   //Great Bahamut
051      30     106   101   -1   //Great Bahamut
051      30     099   108   -1   //Great Bahamut
051      30     091   115   -1   //Great Bahamut
051      30     081   123   -1   //Great Bahamut
051      30     126   167   -1   //Great Bahamut
051      30     111   174   -1   //Great Bahamut
051      30     090   177   -1   //Great Bahamut
051      30     076   180   -1   //Great Bahamut
051      30     062   178   -1   //Great Bahamut
051      30     042   178   -1   //Great Bahamut
051      30     027   161   -1   //Great Bahamut
051      30     042   152   -1   //Great Bahamut
051      30     019   159   -1   //Great Bahamut
051      30     062   140   -1   //Great Bahamut
051      30     070   133   -1   //Great Bahamut
051      30     168   054   -1   //Great Bahamut
051      30     007   052   -1   //Great Bahamut
051      30     225   045   -1   //Great Bahamut
051      30     207   009   -1   //Great Bahamut
051      30     154   069   -1   //Great Bahamut
051      30     111   082   -1   //Great Bahamut
051      30     081   116   -1   //Great Bahamut
051      30     072   125   -1   //Great Bahamut
051      30     122   066   -1   //Great Bahamut
049      30     019   230   -1   //Hydra
049      30     024   227   -1   //Hydra
051      30     219   056   -1   //Great Bahamut
051      30     215   065   -1   //Great Bahamut
051      30     232   055   -1   //Great Bahamut
051      30     231   064   -1   //Great Bahamut
051      30     238   071   -1   //Great Bahamut
051      30     229   074   -1   //Great Bahamut
051      30     217   075   -1   //Great Bahamut
051      30     225   081   -1   //Great Bahamut
051      30     215   086   -1   //Great Bahamut
051      30     223   089   -1   //Great Bahamut
051      30     218   101   -1   //Great Bahamut
051      30     232   095   -1   //Great Bahamut
052      30     223   070   -1   //Silver Valkyrie
052      30     211   059   -1   //Silver Valkyrie
052      30     232   086   -1   //Silver Valkyrie
052      30     208   104   -1   //Silver Valkyrie
052      30     235   106   -1   //Silver Valkyrie
052      30     224   108   -1   //Silver Valkyrie
048      30     219   124   -1   //Lizard King
051      30     225   117   -1   //Great Bahamut
048      30     227   123   -1   //Lizard King
048      30     219   133   -1   //Lizard King
048      30     226   134   -1   //Lizard King
052      30     224   142   -1   //Silver Valkyrie
048      30     226   154   -1   //Lizard King
048      30     221   150   -1   //Lizard King
048      30     220   168   -1   //Lizard King
048      30     232   166   -1   //Lizard King
048      30     231   176   -1   //Lizard King
048      30     217   197   -1   //Lizard King
048      30     215   182   -1   //Lizard King
049      30     211   192   -1   //Hydra
049      30     229   203   -1   //Hydra
052      30     208   183   -1   //Silver Valkyrie
052      30     215   174   -1   //Silver Valkyrie
048      30     222   190   -1   //Lizard King
048      30     229   190   -1   //Lizard King
052      30     230   181   -1   //Silver Valkyrie
052      30     226   161   -1   //Silver Valkyrie
052      30     208   198   -1   //Silver Valkyrie
048      30     232   206   -1   //Lizard King
048      30     231   196   -1   //Lizard King
048      30     223   202   -1   //Lizard King
048      30     224   184   -1   //Lizard King
048      30     230   171   -1   //Lizard King
048      30     221   158   -1   //Lizard King
048      30     233   124   -1   //Lizard King
048      30     232   102   -1   //Lizard King
052      30     200   103   -1   //Silver Valkyrie
052      30     192   101   -1   //Silver Valkyrie
052      30     179   092   -1   //Silver Valkyrie
052      30     187   094   -1   //Silver Valkyrie
052      30     177   101   -1   //Silver Valkyrie
052      30     166   117   -1   //Silver Valkyrie
052      30     159   112   -1   //Silver Valkyrie
052      30     156   122   -1   //Silver Valkyrie
052      30     173   109   -1   //Silver Valkyrie
052      30     167   107   -1   //Silver Valkyrie
052      30     150   120   -1   //Silver Valkyrie
052      30     142   125   -1   //Silver Valkyrie
051      30     136   129   -1   //Great Bahamut
052      30     129   130   -1   //Silver Valkyrie
052      30     117   130   -1   //Silver Valkyrie
052      30     121   135   -1   //Silver Valkyrie
052      30     144   109   -1   //Silver Valkyrie
052      30     070   168   -1   //Silver Valkyrie
052      30     076   174   -1   //Silver Valkyrie
052      30     085   185   -1   //Silver Valkyrie
052      30     087   175   -1   //Silver Valkyrie
051      30     065   187   -1   //Great Bahamut
051      30     064   159   -1   //Great Bahamut
051      30     186   099   -1   //Great Bahamut
051      30     185   090   -1   //Great Bahamut
051      30     147   114   -1   //Great Bahamut
051      30     084   170   -1   //Great Bahamut
048      30     015   234   -1   //Lizard King
048      30     020   237   -1   //Lizard King
048      30     034   237   -1   //Lizard King
048      30     047   231   -1   //Lizard King
048      30     054   232   -1   //Lizard King
048      30     020   218   -1   //Lizard King
048      30     034   176   -1   //Lizard King
712      30     120   120   -1   //Boss +4
end
