//Index	Name		Opt2-1	V2-1	Opt2-2	V2-2	Opt3-1	V3-1	Opt3-2	V3-2	Opt4-1	V4-1	Opt4-2	V4-2	Opt5-1	V5-1	Opt5-2	V5-2	Opt6-1	V6-1	Opt6-2	v6-2	Opt7-1	V7-1	Opt7-2	V7-2	FullOption1	FullValue1	FullOption2	FullValue2	FullOption3	FullValue3	FullOption4	FullValue4	FullOption5	FullValue5
23		"Gaia"		19		10		*		*		12		25		*		*		0		10		*		*		20		5		*		*		*		*		*		*		*		*		*		*		1			30			17			10			18			10			*			*			*			*
24		"Fase"		11		100		*		*		12		100		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		10			100			*			*			*			*			*			*			*			*
25		"Odin"		2		15		*		*		11		50		*		*		9		50		*		*		1		30		*		*		*		*		*		*		*		*		*		*		12			50			21			5			13			50			*			*			*			*
26		"Elvian"	1		30		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		21			5			*			*			*			*			*			*			*			*
27		"Argo"		6		20		*		*		19		25		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		13			50			20			5			*			*			*			*			*			*
28		"Karis"		19		15		*		*		20		10		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		15			10			1			40			*			*			*			*			*			*
29		"Gywen"		1		30		*		*		5		20		*		*		10		20		*		*		6		20		*		*		*		*		*		*		*		*		*		*		15			15			17			15			16			20			18			20			*			*
30		"Aruan"		8		10		*		*		20		10		*		*		19		20		*		*		*		*		*		*		*		*		*		*		*		*		*		*		15			15			17			15			21			5			*			*			*			*
31		"Gaion"		21		5		*		*		20		15		*		*		19		15		*		*		*		*		*		*		*		*		*		*		*		*		*		*		17			15			18			30			7			10			0			30			*			*
32		"Muren"		19		10		*		*		7		10		*		*		20		10		*		*		*		*		*		*		*		*		*		*		*		*		*		*		15			15			17			15			10			25			23			20			*			*
33		"Agnis"		20		10		*		*		10		40		*		*		19		20		*		*		*		*		*		*		*		*		*		*		*		*		*		*		15			15			17			15			16			20			18			20			*			*
34		"Broy"		8		20		*		*		19		20		*		*		2		30		*		*		*		*		*		*		*		*		*		*		*		*		*		*		15			15			17			15			21			5			4			30			*			*
35		"Chrono"	20		20		*		*		10		60		*		*		19		30		*		*		*		*		*		*		*		*		*		*		*		*		*		*		15			15			17			15			16			20			18			20			*			*
36		"Sedemen"	7		15		*		*		19		25		*		*		2		30		*		*		*		*		*		*		*		*		*		*		*		*		*		*		15			15			17			15			21			5			*			*			*			*
37		"Vega"		9		50		*		*		3		50		*		*		6		30		*		*		*		*		*		*		*		*		*		*		*		*		*		*		17			15			20			5			21			5			*			*			*			*
38		"Chamer"	10		50		*		*		20		5		*		*		8		30		*		*		*		*		*		*		*		*		*		*		*		*		*		*		16			30			17			15			19			30			18			20			*			*
//Index	Name		Opt2-1	V2-1	Opt2-2	V2-2	Opt3-1	V3-1	Opt3-2	V3-2	Opt4-1	V4-1	Opt4-2	V4-2	Opt5-1	V5-1	Opt5-2	V5-2	Opt6-1	V6-1	Opt6-2	v6-2	Opt7-1	V7-1	Opt7-2	V7-2	FullOption1	FullValue1	FullOption2	FullValue2	FullOption3	FullValue3	FullOption4	FullValue4	FullOption5	FullValue5
39		"Mahes"		3		100		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		21			6			22			17			*			*			*			*			*			*
40		"Bes"		2		200		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		7			9			19			80			*			*			*			*			*			*
41		"Serket"	1		40		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		10			90			8			40			*			*			*			*			*			*
42		"Apis"		0		60		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		16			40			18			40			*			*			*			*			*			*
43		"Hapy"		1		10		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		21			1			10			40			*			*			*			*			*			*
44		"Khons"		3		200		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		15			3			17			3			*			*			*			*			*			*
45		"Horus"		5		80		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		*		19			60			20			4			*			*			*			*			*			*
46		"Bragi"		0		10		*		*		0		20		*		*		0		30		*		*		0		50		*		*		*		*		*		*		*		*		*		*		5			30			23			6			20			30			19			50			*			*
47		"Alvis"		20		1		*		*		20		2		*		*		20		3		*		*		2		10		*		*		*		*		*		*		*		*		*		*		22			8			15			8			17			8			21			1			*			*
48		"Frigg"		5		40		*		*		6		40		*		*		5		50		*		*		6		50		*		*		*		*		*		*		*		*		*		*		15			7			17			7			11			50			10			20			*			*
49		"Try"		0		20		*		*		1		20		*		*		3		20		*		*		2		20		*		*		*		*		*		*		*		*		*		*		20			1			7			1			17			12			8			6			*			*
50		"Surt"		22		2		*		*		10		20		*		*		0		30		*		*		11		70		*		*		*		*		*		*		*		*		*		*		19			40			15			11			16			80			2			60			*			*
51		"Elune"		17		8		*		*		17		9		*		*		17		10		*		*		20		12		*		*		*		*		*		*		*		*		*		*		10			40			19			80			12			200			7			13			*			*
52		"Magni"		6		5		*		*		6		10		*		*		6		15		*		*		11		100		*		*		*		*		*		*		*		*		*		*		10			50			17			8			18			10			8			60			*			*
end
