//=======================================================================================================

//========================================================================================================

//=================================
// //Categoria Sword//
//=================================
0
// [01]  [02]   [03]    [04]    [05]     [06]         [07]         [08]       [NOME]                               [09]    [10]        [11]        [12]          [13]         [14]              [15]              [16]       [17]          [18]           [19]        [20]          [21]            [22]   [SM]    [BK]    [ELF]  [MG]    [DL]    [SU]    [RF]
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU      RF
11       0      0       2       3        1            1            1          "Legendary Sword"                    44      56          72          20            54           0                 0                 0          120           0              0           0             0               0      0       1       0       1       0       0       0
12       0      0       2       3        1            1            1          "Heliacal Sword"                     56      73          98          25            66           0                 0                 0          140           0              0           0             0               0      0       1       0       1       0       0       0
13       0      56      1       3        1            1            1          "Double Blade"                       48      48          56          30            43           0                 0                 0          70            70             0           0             0               0      0       1       1       1       0       0       0
14       0      56      1       3        1            1            1          "Lighting Sword"                     59      59          67          30            50           0                 0                 0          90            50             0           0             0               0      0       1       1       1       0       0       0
15       0      20      2       3        1            1            1          "Giant Sword"                        52      60          85          20            60           0                 0                 0          140           0              0           0             0               0      0       1       0       1       0       0       0
16       0      56      1       4        1            1            1          "Sword of Destruction"               82      82          90          35            84           0                 0                 0          160           60             0           0             0               0      0       1       0       1       0       0       0
17       0      20      2       4        1            1            1          "Dark Breaker"                       104     128         153         40            89           0                 0                 0          180           50             0           0             0               0      0       2       0       0       0       0       0
18       0      20      2       3        1            1            1          "Thunder Blade"                      105     140         168         40            86           0                 0                 0          180           50             0           0             0               0      0       0       0       1       0       0       0
19       0      56      1       4        1            1            0          "Divine Sword of Archangel"          86      220         230         45            168          0                 0                 0          140           50             0           0             0               0      0       1       0       1       1       0       0
20       0      56      1       4        1            1            1          "Knight Blade"                       140     107         115         35            90           0                 0                 0          116           38             0           0             0               0      0       2       0       0       0       0       0
21       0      56      2       4        1            1            1          "Dark Reign Blade"                   140     115         142         40            100          0                 115               0          116           53             9           0             0               0      0       0       0       1       0       0       0
22       0      56      1       4        1            1            1          "Bone Blade"                         147     122         135         40            95           0                 0                 380        100           35             0           0             0               0      0       2       0       0       0       0       0
23       0      56      2       4        1            1            1          "Explosion Blade"                    147     127         155         45            110          0                 134               380        98            48             7           0             0               0      0       0       0       1       0       0       0
24       0      56      2       4        1            1            1          "Daybreak"                           115     182         218         40            90           0                 0                 0          192           30             0           0             0               0      0       2       0       0       0       0       0
25       0      56      2       4        1            1            1          "Sword Dancer"                       115     109         136         40            90           0                 108               0          136           57             9           0             0               0      0       0       0       1       0       0       0
26       0      56      1       4        1            1            1          "Flameberge"                         137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       0       0       0       0
27       0      56      1       4        1            1            1          "Sword Breaker"                      133     91          99          35            90           0                 0                 380        53            176            0           0             0               0      0       2       0       0       0       0       0
28       0      56      1       4        1            1            1          "Rune Bastard Sword"                 139     98          122         45            90           0                 109               380        91            73             17          0             0               0      0       0       0       1       0       0       0
29       0      56      1       4        1            1            1          "Sonic Blade"                        149     109         116         35            80           0                 0                 380        49            162            0           0             0               1	   0	   1	   0	   1	   0	   0	   0
30       0      56      1       4        1            1            1          "Sword Fire Green"                   149     115         140         45            90           0                 112               380        86            70             16          0             0               1	   0	   1	   1	   1	   0	   0	   0
31       0      56      2       4        1            1            1          "Rune Blade"                         100     104         130         35            93           0                 104               0          135           62             9           0             0               1	   0	   1	   1	   1	   0	   0	   0	
32	 0	56	1	2	 1	      1	           0	      "Mace Of King"			   140	   225	       240	   35	         84	      0	                0	          0	     160	   60	          0	      0	            0	            1	   0	   1	   1	   1	   0	   0	   0
//----BY:Zeus Revolutions Team Itens Novos 97D+2.0-----
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU      RF
37       0      56      1       4        1            1            0          "Sword Dark Pirate"                  140     163         216         30            130          0                 0                 380        182           50             0           0             0               0	   0	   1	   0	   1	   0	   0	   0
42       0	56	1	4	 1	      1	           0	      "Sword Of DarkRaven"		   140	   225	       240	   35	          84	      0	                0	          0	     160	   60	          0	      0	            0	            0	   0	   1	   0	   1	   0	   0	   0
44       0      56      1       4        1            1            0          "Sword Of Style Cup"                 150     246         257         45            100          0                 112               0          120           72             17          0             0               0	   0	   1	   0	   1	   0	   0	   0
51       0      56      1       4        1            1            0          "Sword Of Majestick 2.0"             200     265         275         45            170          0                 0                 0          60            30             0           0             0               0	   0	   1	   0	   1	   0	   0	   0
54       0      56      1       4        1            1            0          "Sword Of War [RL]"                  160     302         313         40            100          0                 0                 250        165           51             0           0             0               0	   0	   1	   0	   1	   0	   0	   0
55       0      56      1       4        1            1            0          "Sword Of Natalino"                  160     300         311         45            100          0                 118               250        120           72             17          0             0               0	   0	   1	   0	   1	   0	   0	   0
56       0      270     1       2        1            1            0          "Darkangel Claws"                    160     214         224         35            100          0                 0                 250        95            30             0           0             0               0	   0	   1	   0	   1	   0	   0	   0
57       0      56      1       4        1            1            0          "Sword Of Gold 2.0"                  180     365         376         40            100          0                 0                 300        152           47             0           0             0               0	   0	   1	   0	   1	   0	   0	   0
58       0      56      1       4        1            1            0          "Sword Of Blood Vampire"             180     364         375         45            100          0                 125               300        111           67             16          0             0               0	   0	   1	   0	   1	   0	   0	   0
59       0      270     1       2        1            1            0          "Holyangel Claws"                    180     277         287         35            100          0                 0                 300        88            28             0           0             0               0	   0	   1	   0	   1	   0	   0	   0
60       0      270     1       2        1            1            0          "Archangel Absolute Claws"           100     121         130         35            160          0                 0                 0          68            23             0           0             0               0	   0	   1	   0	   1	   0	   0	   0
61       0      270     1       2        1            1            0          "Blessed Arch's Absolute Claws"      200     136         147         35            160          0                 0                 0          60            22             0           0             0               0	   0	   1	   0	   1	   0	   0	   0
62       0      56      1       4        1            1            0          "Sword Of Snow [RL]"                 200     428         439         40            100          0                 0                 350        141           44             0           0             0               0	   0	   1	   0	   1	   0	   0	   0
63       0      56      1       4        1            1            0          "Sword Of Gold [RL]"                 200     427         438         45            100          0                 133               350        103           62             15          0             0               0	   0	   1	   0	   1	   0	   0	   0
64       0      270     1       2        1            1            0          "Soul Claws"                         200     340         350         35            100          0                 0                 350        82            26             0           0             0               0	   0	   1	   0	   1	   0	   0	   0
65	 0	56	1	4	 1	      1	           0	      "Sword Of Saron"		           140	   225	       240	   35	         84	      0	                0	          0	     160	   60	          0	      0	            0	            0	   0	   1	   0	   1	   0	   0	   0
66	 0	56	1	4	 1	      1	           0	      "Sword Of Green V2"		   140	   225	       240	   35	         84	      0	                0	          0	     160	   60	          0	      0	            0	            0	   0	   1	   0	   1	   0	   0	   0
67	 0	56	1	4	 1	      1	           0	      "Sword Of Love 2.0"		   140	   225	       240	   35	         84	      0	                0	          0	     160	   60	          0	      0	            0	            0	   0	   1	   0	   1	   0	   0	   0
68	 0	56	1	4	 1	      1	           0	      "Sword Of Armageddom [RL]"	   140	   225	       240	   35	         84	      0	                0	          0	     160	   60	          0	      0	            0	            0	   0	   1	   0	   1	   0	   0	   0
69	 0	56	1	4	 1	      1	           0	      "Sword Of Apocalipse 2.0"		   140	   225	       240	   35	         84	      0	                0	          0	     160	   60	          0	      0	            0	            0	   0	   1	   0	   1	   0	   0	   0
70	 0	56	1	4	 1	      1	           0	      "Sword Of Blood Vampire"		   140	   225	       240	   35	         84	      0	                0	          0	     160	   60	          0	      0	            0	            0	   0	   1	   0	   1	   0	   0	   0
78       0      56      1       4        1            1            0          "Sword Of Steel 2.0"                 220     492         502         40            100          0                 0                 380        83            24             0           0             0               0	   0	   1	   0	   1	   0	   0	   0
79       0      56      1       4        1            1            0          "Blue Eye Magic Sword"               220     491         501         45            100          0                 140               380        60            35             6           0             0               0	   0	   1	   0	   1	   0	   0	   0
80       0      270     1       2        1            1            0          "Blue Eye Claws"                     220     404         414         35            100          0                 0                 380        47            14             0           0             0               0	   0	   1	   0	   1	   0	   0	   0
81       0      270     1       2        1            1            0          "Dragon Claws"                       220     404         414         35            100          0                 0                 380        47            14             0           0             0               0	   0	   1	   0	   1	   0	   0	   0
82       0      56      1       4        1            1            0          "Sword Of Horus"                     180     365         376         40            100          0                 0                 300        152           47             0           0             0               0	   0	   1	   0	   1	   0	   0	   0
83       0      56      1       4        1            1            0          "Sword Of Zeus"                      180     365         376         40            100          0                 0                 300        152           47             0           0             0               0	   0	   1	   0	   1	   0	   0	   0
84       0      56      1       4        1            1            0          "Sword Of Holy"                      180     365         376         40            100          0                 0                 300        152           47             0           0             0               0	   0	   1	   0	   1	   0	   0	   0
85	 0	56	1	2	 1	      1	           0	      "Mace Of King [RL]"	           52	   225	       240	   35	         84	      0	                0	          0	     160	   60	          0	      0	            0	            0	   0	   1	   0	   1	   1	   0	   0
86	 0	56	1	2	 1	      1	           0	      "Saron Hammer [RL]"		   52	   225	       240	   35	         84	      0	                0	          0	     160	   60	          0	      0	            0	            0	   0	   1	   0	   1	   1	   0	   0
87	 0	56	1	2	 1	      1	           0	      "Sword Zeus 1.0"			   180	   225	       240	   35	         84	      0	                0	          0	     160	   60	          0	      0	            0	            0	   0	   1	   0	   1	   0	   0	   0
88	 0	56	1	2	 1	      1	           0	      "Sword Of New 2022"	           5	   225	       240	   150	         255	      0	                104	          380	     160	   60	          0	      0	            0	            0	   0	   1	   0	   1	   0	   0	   0
89	 0	56	1	4	 1	      1	           0	      "Sword Fire King 2.0"		   140	   225	       240	   35	         84	      0	                0	          0	     160	   60	          0	      0	            0	            0	   0	   1	   0	   1	   0	   0	   0
90       0      56      1       4        1            1            0          "Sword Fire Green"                   140     115         140         45            90           0                 112               380        86            70             16          0             0               0	   0	   1	   1	   1	   0	   0	   0
91       0      56      1       4        1            1            0          "Sword Of Fantasy"                   6       225         240         150           255          0                 112               380        86            70             16          0             0               0	   0	   1	   1	   1	   0	   0	   0
92       0      56      1       4        1            1            0          "Sword Light Hawk"                   22      225         240         150           255          0                 112               380        86            70             16          0             0               0	   0	   1	   1	   1	   0	   0	   0
93       0      56      1       4        1            1            0          "Sword Of BloodRed-2022"             6       225         240         150           255          0                 112               380        86            70             16          0             0               0	   0	   1	   1	   1	   0	   0	   0
94       0      56      1       4        1            1            0          "Sword Of Blue White"                6       225         240         150           255          0                 112               380        86            70             16          0             0               0	   0	   1	   1	   1	   0	   0	   0
95       0      56      1       4        1            1            0          "Sword Of Black Gold"                22      225         240         150           255          0                 112               380        86            70             16          0             0               0	   0	   1	   1	   1	   0	   0	   0
96       0      56      1       4        1            1            0          "Sword Red Fire"                     22      115         140         45            90           0                 112               380        86            70             16          0             0               0	   0	   1	   1	   1	   0	   0	   0
97       0      56      1       4        1            1            0          "Sword Ligh Blue"                    22      115         140         45            90           0                 112               380        86            70             16          0             0               0	   0	   1	   1	   1	   0	   0	   0
98       0      56      1       4        1            1            0          "Sword Of Rabbit Lunar [RL]"         22      115         140         45            90           0                 112               380        86            70             16          0             0               0	   0	   1	   1	   1	   0	   0	   0
99       0      56      1       4        1            1            0          "Scepter Of War 2.0 [RL]"            22      115         140         45            90           0                 112               380        86            70             16          0             0               0	   0	   1	   1	   1	   0	   0	   0
100      0      56      1       4        1            1            0          "Sword Of War 2.0 [RL]"              22      115         140         45            90           0                 112               380        86            70             16          0             0               0	   0	   1	   1	   1	   0	   0	   0
101      0      56      1       4        1            1            0          "Sword Of Abaddon"                   22      115         140         45            90           0                 112               380        86            70             16          0             0               0	   0	   1	   1	   1	   0	   0	   0
102      0      56      1       4        1            1            0          "Sword Of Marinheiro"                22      115         140         45            90           0                 112               380        86            70             16          0             0               0	   0	   1	   1	   1	   0	   0	   0
103      0      56      1       4        1            1            0          "Sword Of Holy v2"                   22      115         140         45            90           0                 112               380        86            70             16          0             0               0	   0	   1	   1	   1	   0	   0	   0
104      0      56      1       4        1            1            0          "Sword Rei Do PvP"                   22      115         140         45            90           0                 112               380        86            70             16          0             0               0	   0	   1	   1	   1	   0	   0	   0
end

//=================================
// //Categoria Axe//
//=================================
1
// [01]  [02]   [03]    [04]    [05]     [06]         [07]         [08]       [NOME]                               [09]    [10]        [11]        [12]          [13]         [14]              [15]              [16]       [17]          [18]           [19]        [20]          [21]            [22]   [SM]    [BK]    [ELF]  [MG]    [DL]    [SU]    [RF]
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU      RF
0        0      0       1       3        1            1            1          "Small Axe"                          1       1           6           20            18           0                 0                 0          50            0              0           0             0               1      1       1       0       1       1       0       0
1        0      0       1       3        1            1            1          "Hand Axe"                           4       4           9           30            20           0                 0                 0          70            0              0           0             0               1      1       1       0       1       1       0       0
2        0      0       1       3        1            1            1          "Double Axe"                         14      14          24          20            26           0                 0                 0          90            0              0           0             0               1      1       1       0       1       1       0       0
3        0      0       1       3        1            1            1          "Tomahawk"                           18      18          28          30            28           0                 0                 0          100           0              0           0             0               1      1       1       0       1       1       0       0
4        0      0       1       3        1            1            1          "Elven Axe"                          26      26          38          40            32           0                 0                 0          50            70             0           0             0               1      1       1       0       1       1       0       0
5        0      0       2       3        1            1            1          "Battle Axe"                         30      36          44          20            36           0                 0                 0          120           0              0           0             0               1      1       1       0       1       1       0       0
6        0      0       2       3        1            1            1          "Nikea Axe"                          34      38          50          30            44           0                 0                 0          130           0              0           0             0               1      1       1       0       1       1       0       0
7        0      0       2       3        1            1            1          "Larkan Axe"                         46      54          67          25            55           0                 0                 0          140           0              0           0             0               1      1       1       0       1       1       0       0
8        0      0       2       3        1            1            1          "Crescent Axe"                       54      69          89          30            65           0                 0                 0          100           40             0           0             0               1      1       1       0       1       1       0       0
9        0      0       2       3        1            1            0          "Axe Of Saron"                       54      69          89          30            65           0                 0                 0          100           40             0           0             0               1      1       1       0       1       1       0       0
10       0      0       2       3        1            1            0          "Axe Of Green V2"                    54      69          89          30            65           0                 0                 0          100           40             0           0             0               1      1       1       0       1       1       0       0
11       0      0       2       3        1            1            0          "Axe Of Holy"                        54      69          89          30            65           0                 0                 0          100           40             0           0             0               1      1       1       0       1       1       0       0
12       0      0       2       3        1            1            0          "Axe Of New 2022"                    54      69          89          30            65           0                 0                 0          100           40             0           0             0               1      1       1       0       1       1       0       0
13       0      0       2       3        1            1            0          "Axe Of Fire Green"                  54      69          89          30            65           0                 0                 0          100           40             0           0             0               1      1       1       0       1       1       0       0
14       0      0       2       3        1            1            0          "Axe Of Blue White"                  10      69          89          30            65           0                 0                 0          100           40             0           0             0               1      1       1       0       1       1       0       0
15       0      0       2       3        1            1            0          "Axe Red Fire"                       10      69          89          30            65           0                 0                 0          100           40             0           0             0               1      1       1       0       1       1       0       0
16       0      0       2       3        1            1            0          "Axe Ligh Blue"                      10      69          89          30            65           0                 0                 0          100           40             0           0             0               1      1       1       0       1       1       0       0
17       0      0       2       3        1            1            0          "Axe Holy v2"                        10      69          89          30            65           0                 0                 0          100           40             0           0             0               1      1       1       0       1       1       0       0
end

//=================================
// //Categoria Mace//
//=================================
2
// [01]  [02]   [03]    [04]    [05]     [06]         [07]         [08]       [NOME]                               [09]    [10]        [11]        [12]          [13]         [14]              [15]              [16]       [17]          [18]           [19]        [20]          [21]            [22]   [SM]    [BK]    [ELF]  [MG]    [DL]    [SU]    [RF]
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU      RF
0        0      0       1       3        1            1            1          "Mace"                               7       7           13          15            21           0                 0                 0          100           0              0           0             0               1      0       1       0       1       1       0       0
1        0      0       1       3        1            1            1          "Morning Star"                       13      13          22          15            25           0                 0                 0          100           0              0           0             0               1      0       1       0       1       1       0       0
2        0      0       1       3        1            1            1          "Flail"                              22      22          32          15            32           0                 0                 0          80            50             0           0             0               1      0       1       0       1       1       0       0
3        0      0       2       3        1            1            1          "Great Hammer"                       38      45          56          15            50           0                 0                 0          150           0              0           0             0               1      0       1       0       1       1       0       0
4        0      0       2       3        1            1            1          "Crystal Morning Star"               66      78          107         30            72           0                 0                 0          130           0              0           0             0               1      0       1       0       1       1       0       0
5        0      20      2       4        1            1            1          "Crystal Sword"                      72      89          120         40            76           0                 0                 0          130           70             0           0             0               1      0       1       0       1       1       0       0
6        0      20      2       4        1            1            0          "Chaos Dragon Axe"                   75      102         130         35            80           0                 0                 0          140           50             0           0             0               1      0       1       0       1       1       0       0
7        0      0       1       3        1            1            1          "Elemental Mace"                     90      62          80          50            50           0                 0                 0          15            42             0           0             0               1      0       1       0       1       1       0       0
8        0      66      1       3        1            1            1          "Battle Scepter"                     54      41          52          45            40           0                 3                 0          80            17             0           0             0               1      0       1       0       1       1       0       0
9        0      66      1       3        1            1            1          "Master Scepter"                     72      57          68          45            45           0                 20                0          87            18             0           0             0               1      0       1       0       1       1       0       0
10       0      66      1       4        1            1            1          "Great Scepter"                      82      74          85          45            65           0                 35                0          100           21             0           0             0               1      0       1       0       1       1       0       0
11       0      66      1       4        1            1            1          "Lord Scepter"                       98      91          102         40            72           0                 52                0          105           23             0           0             0               1      0       1       0       1       1       0       0
12       0      66      1       4        1            1            1          "Great Lord Scepter"                 140     108         120         40            84           0                 67                0          90            20             0           0             0               1      0       1       0       1       1       0       0
13       0      66      1       4        1            1            1          "Divine Scepter of Archangel"        150     200         223         45            90           0                 138               0          75            16             0           0             0               1      0       1       0       1       1       0       0
14       0      66      1       4        1            1            1          "Soleil Sceptor"                     146     130         153         40            95           0                 84                380        80            15             0           0             0               1      0       1       0       1       1       0       0
15       0      66      1       4        1            1            1          "Shining Scepter"                    110     99          111         40            78           0                 60                0          108           22             0           0             0               1      0       1       0       1       1       0       0
16       0      0       1       3        1            1            1          "Frost Mace"                         121     106         146         50            80           0                 0                 380        27            19             0           0             0               1      0       1       0       1       1       0       0
17       0      66      1       4        1            1            1          "Absolute Scepter"                   135     114         132         40            90           0                 72                380        119           24             0           0             0               1      0       1       0       1       1       0       0
18       0      66      1       4        1            1            1          "Striker Scepter"                    147     112         124         40            86           0                 70                0          87            20             0           0             0               1      0       1       0       1       1       0       0
//----BY:Zeus Revolutions Team Itens Novos 97D+2.0-----
19       0      66      1       4        1            1            0          "Mace Of War [RL]"                   90      127         154         40            78           0                 76                380        111           22             0           0             0               1      0       1       0       1       1       0       0
20       0      0       2       4        1            1            0          "Horn Of Steal"                      149     177         206         25            120          0                 0                 380        182           50             0           0             0               1      0       1       0       1       1       0       0
22       0	56	1	4	 1	      1	           0	      "Mace Of Green V2"	           135	   225	       240	   30	         100	      0	                80	          80	     144	   100	          0	      0	            0	            1      0       1       0       1       1       0       0
25       0      66      1       4        1            1            0          "Blessed Divine Arch Scepter"        200     331         341         45            170          0                 175               0          75            16             0           0             0               1      0       1       0       1       1       0       0
26       0      66      1       4        1            1            0          "Darkangel Scepter"                  160     223         233         40            100          0                 114               250        114           23             0           0             0               1      0       1       0       1       1       0       0
27       0      66      1       4        1            1            0          "Scepter Fire Green"                 135     318         330         40            100          0                 134               300        105           22             0           0             0               1      0       1       0       1       1       0       0
32       0      0       1       3        1            1            0          "Bloodangel Runic Mace"              150     95          101         50            0            100               122               400        42            14             129         0             0               1      0       1       0       1       1       0       0
33       0      0       1       3        1            1            0          "Darkangel Runic Mace"               160     125         131         50            0            100               136               250        42            14             129         0             0               1      0       1       0       1       1       0       0
34       0      0       1       3        1            1            0          "Absolute Mace of Archangel"         104     158         170         50            0            182               142               0          32            4              64          0             0               1      0       1       0       1       1       0       0
35       0      0       1       3        1            1            0          "Blessed Divine Arch Mace"           200     158         170         50            0            182               160               0          28            4              79          0             0               1      0       1       0       1       1       0       0
36       0      66      1       4        1            1            0          "Soul Scepter"                       200     403         416         40            100          0                 154               350        98            21             0           0             0               1      0       1       0       1       1       0       0
38       0      0       1       3        1            1            0          "Holyangel Rune Mace"                180     135         141         50            0            100               152               300        42            14             129         0             0               1      0       1       0       1       1       0       0
