//In	IIndex	DefA	IncDmgA	IncDmgB	DecDmgA	DecDmgB	Opt1	Opt1	Opt2	Opt2   	Opt3	Opt3	NewOpt1	NewOpt1	NewOpt2	NewOpt2	NewOpt3	NewOpt3	NewOpt4	NewOpt4	ModelType   ModelName
50      6323    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing828"
51      6324    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing829"
52      6325    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing830"
53      6326    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing831"
54      6327    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing832"
55      6328    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing833"
56      6329    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing834"
57      6330    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing835"
58      6331    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing836"
59      6439    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing837"
60      6440    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing838"
61      6332    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing839"
62      6333    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing840"
63      6334    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing841"
64      6335    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing842"
65      6336    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing843"
///66      6337    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing844"
///67      6338    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing845"
68      6339    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing846"
69      6340    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing847"
70      6341    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing848"
71      6342    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing849"
72      6343    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing850"
end
